DIP编码,DIP名称,权重,DIP住院费用,DIP收入,DIP结余,结余率(%),预计结算点数,入组病例数,高倍率病例数,低倍率病例数,超支病例,服务性收入
K40.9:17.1300x002,单侧或未特指的腹股沟疝，不伴有梗阻或坏疽:腹腔镜下全腹膜外腹股沟疝补片修补术（TEP）,1.203,386773.29,371008.1486,-15765.1414,-0.040760678,35217.53775,29,1,0,14,106998.29
K52.9:44.1401,未特指的非感染性胃肠炎和结肠炎:胃镜下活组织检查,0.685,284000.85,268294.1858,-15706.66419,-0.05530499,26030,38,0,0,25,74298.87
C49:SS,其他结缔组织和软组织恶性肿瘤:相关手术,1.956,84351.7,68650.79943,-15700.90057,-0.186136149,5868,3,0,0,2,54205.44
B44:ZDXCZ,曲霉病:诊断性操作,2.118,51790.03,36105.78139,-15684.24861,-0.302843011,3076.813594,1,1,0,1,57830.93
C64.X,肾(除外肾盂)恶性肿瘤,0.881,48500.38,32830.48558,-15669.89442,-0.323088075,2982.525245,3,1,0,2,39822.5
E11.6,2型糖尿病伴有其他特指的并发症,0.565,193593.23,178023.641,-15569.58904,-0.080424243,17054.06469,33,2,6,19,48065.86
D12.8:48.3200x001,直肠良性肿瘤:直肠-乙状结肠镜下直肠病损电切术,0.725,143407,127854.2418,-15552.75822,-0.108451876,11644.57479,16,1,0,12,47820.76
D35.0:07.2102,肾上腺良性肿瘤:腹腔镜肾上腺病损切除术,2.159,42645.42,27276.86397,-15368.55603,-0.36037999,2159,1,0,0,1,50672.94
O00.1:66.6201,输卵管妊娠:腹腔镜输卵管切除伴输卵管妊娠去除术,0.911,70535.02,55215.86906,-15319.15094,-0.217185037,4555,5,0,0,4,43514.27
J93.1:32.2002,其他的自发性气胸:胸腔镜下肺大疱切除术,2.994,61168.02,45854.10089,-15313.91911,-0.250358261,3141.47553,1,1,0,1,74277.2
C16.0:42.5202,贲门恶性肿瘤:食管胃弓下吻合术,6.252,86276.65,70985.47594,-15291.17406,-0.177234212,6252,1,0,0,1,100501.53
C55:SS,子宫部位未特指的恶性肿瘤:相关手术,2.718,114050.91,98764.75918,-15286.15082,-0.134029188,8721.908755,1,1,0,1,149172.02
K80.3:51.1000+51.8500x002,胆管结石伴有胆管炎:内镜逆行胰胆管造影[ERCP]+内镜下十二指肠乳头肌切开取石术,3.226,85351.61,70094.91047,-15256.69953,-0.178751163,6452,2,0,0,2,70827
D12.6:45.4307+48.3600x004,未特指的结肠良性肿瘤:内镜下结肠黏膜切除术(EMR)+内镜下直肠黏膜切除术(EMR),1.029,77709.78,62478.95961,-15230.82039,-0.195996185,5249.24587,5,1,0,5,34465.07
C54.1:54.5100x009,子宫内膜恶性肿瘤:腹腔镜下盆腔粘连松解术,2.526,74307.25,59109.23298,-15198.01702,-0.204529397,5052,2,0,0,2,62862.63
I21.4:88.5500,急性心内膜下心肌梗死:单根导管的冠状动脉造影术,1.375,62181.52,46991.32536,-15190.19464,-0.244287927,3712.916255,2,1,0,2,46941.7
I21.4:96.0400,急性心内膜下心肌梗死:气管内插管,2.026,381678.96,366499.6507,-15179.3093,-0.039769835,32206.41593,3,1,0,1,243376.9
D12.5:45.4300x009,乙状结肠良性肿瘤:内镜下结肠黏膜下剥离术(ESD),1.829,81570.73,66428.61466,-15142.11534,-0.185631725,5487,3,0,0,3,53776.12
M10:SS,痛风:相关手术,1.169,111236.16,96119.29366,-15116.86634,-0.135898851,8448.358979,9,2,4,5,33952.34
I25.1:45.4201,动脉硬化性心脏病:内镜下乙状结肠息肉切除术,0.999,82236.79,67127.02266,-15109.76734,-0.183734887,5994,6,0,0,6,24732.28
A41.5,其他革兰氏阴性病原体性脓毒症,1.569,352704.4,337602.2036,-15102.19641,-0.042818282,29929.78677,3,1,0,2,147611.28
D25.9:68.2915,未特指的子宫平滑肌瘤:宫腔镜子宫内膜病损切除术,0.963,54779.72,39678.04523,-15101.67477,-0.275680029,3068.152103,3,1,0,3,39739.28
I61.8,其他脑内出血,1.549,111846,96804.93922,-15041.06078,-0.134480096,9176.232085,7,0,2,5,34610.29
C34.3:32.4100,下叶，支气管或肺的恶性肿瘤:胸腔镜下肺叶切除术,4.352,203951.46,188925.372,-15026.08798,-0.073674824,17408,4,0,0,4,76723.42
C78.7:50.2301,肝及肝内胆管继发性恶性肿瘤:肝病损微波消融术,2.031,43150,28131.72109,-15018.27891,-0.348048179,2297.172943,1,1,0,1,52518.8
K56.7:54.5903,未特指的肠梗阻:肠粘连松解术,2.394,51938.19,36929.47359,-15008.71641,-0.28897265,2815.674824,1,1,0,1,61061.2
Z47.0:78.6201,涉及骨折板和其他内固定装置的随诊医疗:肱骨内固定装置去除术,0.667,91655.82,76647.72609,-15008.09391,-0.163744036,6411.632913,10,3,1,7,46632.71
A:ZDXCZ,某些传染病和寄生虫病:诊断性操作,1.522,281097.48,266106.5792,-14990.90078,-0.053329901,22911.45824,15,1,6,11,188106.07
I70.2,四肢动脉的动脉粥样硬化,0.707,56988.64,42004.21795,-14984.42205,-0.262937,3234.913237,5,1,1,5,18348.9
I21.9,未特指的急性心肌梗死,0.849,28961.85,14029.13753,-14932.71247,-0.5155994,1066.153426,2,0,1,2,34532.32
M51.2:03.0913,其他特指的椎间盘移位:椎间盘镜下椎管成形术,2.219,52833.45,37973.27169,-14860.17831,-0.281264584,3080.474132,1,1,0,1,60892.25
M16.1:81.5100,其他原发性髋关节病:全髋关节置换,3.553,237905.63,223122.5708,-14783.05923,-0.062138333,21318,6,0,0,4,97319.32
Q45.3:43.4107,胰腺和胰管的其他先天性畸形:内镜下胃黏膜下剥离术[ESD],2.325,120667.09,105895.055,-14772.03497,-0.12241975,9300,4,0,0,4,64627.87
D12:SS,结肠、直肠、肛门和肛管良性肿瘤:相关手术,2.676,116819.48,102066.8142,-14752.66582,-0.126286008,9156.362368,10,0,9,9,39023.6
G62.9,未特指的多神经病,0.612,108262.93,93587.91915,-14675.01085,-0.135549729,8466.477349,14,1,2,9,22050.02
I63.5:99.1008,大脑动脉未特指的闭塞或狭窄引起的脑梗死:脑动脉内溶栓术,2.452,81242.7,66579.92643,-14662.77357,-0.180481121,5697.071981,1,1,0,1,92566.74
M81.9,未特指的骨质疏松,0.44,99089.59,84430.64066,-14658.94934,-0.147936321,7886.334001,16,3,1,8,20733.25
A49.8,未特指部位的其他的细菌性感染,0.686,53325.22,38733.17269,-14592.04731,-0.273642515,2971.522125,5,0,1,5,23058.23
D12.4:45.4300x009,降结肠良性肿瘤:内镜下结肠黏膜下剥离术(ESD),1.838,101015.44,86460.10337,-14555.33663,-0.144090217,7352,4,0,0,4,53688.27
M62,,0,14541.24,0,-14541.24,-1,0,4,0,0,4,5615.79
C20.X:48.6303,直肠恶性肿瘤:腹腔镜低位直肠前切除术,4.451,73164.15,58623.13431,-14541.01569,-0.198745092,4451,1,0,0,1,81992.65
I65.2:88.4100,颈动脉闭塞和狭窄:脑动脉造影术,1.146,74642.13,60104.04656,-14538.08344,-0.194770479,4584,4,0,0,3,38746.32
M20:SS,手指和脚趾的后天性变形:相关手术,1.164,159402.83,144890.2869,-14512.54315,-0.091043196,12466.99337,8,3,0,4,46251.04
N:BSZL,泌尿生殖系统疾病:保守治疗,0.521,53296.47,38829.48042,-14466.98958,-0.271443673,3081.743405,3,2,1,3,34899.66
S46.0,肩回旋套肌肉和肌腱损伤,0.679,45330.65,30882.24954,-14448.40046,-0.318733582,2190.98632,3,1,0,3,24079.11
C34.1:33.2700x001,上叶，支气管或肺的恶性肿瘤:支气管镜下肺活检,1.805,81710.7,67271.83222,-14438.86778,-0.176707185,5415,3,0,0,3,53196.68
J15.9:96.0400,未特指的细菌性肺炎:气管内插管,4.572,63581.57,49159.60961,-14421.96039,-0.226826113,4572,1,0,0,1,80927.23
C34.9:99.2503,未特指的支气管或肺恶性肿瘤:静脉注射化疗药物,1.282,100589.47,86209.30356,-14380.16644,-0.142958964,8151.945522,4,1,1,3,20225.35
K40.9:53.0002,单侧或未特指的腹股沟疝，不伴有梗阻或坏疽:腹腔镜下单侧腹股沟疝修补术,1.117,193308.06,178936.6281,-14371.43189,-0.074344711,15981.56316,14,2,0,9,62102.6
J45.0,主要为变应性哮喘,0.57,77848.65,63477.68945,-14370.96055,-0.184601282,5495.115314,9,2,1,7,25627.51
K35.2:47.0100,急性阑尾炎伴弥漫性腹膜炎:腹腔镜下阑尾切除术,1.232,114829.06,100512.2278,-14316.83218,-0.124679521,9302.764747,6,1,0,5,43789.21
S32.0:81.6601,腰椎骨折:经皮椎体球囊扩张成形术,2.248,70734.36,56426.49622,-14307.86378,-0.202276005,4496,2,0,0,2,52939.83
K74:SS,肝纤维化和肝硬变:相关手术,4.34,72964.04,58669.84898,-14294.19102,-0.19590734,5095.328011,2,0,1,1,36497.13
D25.9:68.2901,未特指的子宫平滑肌瘤:子宫肌瘤切除术,1.216,59870.05,45598.77453,-14271.27547,-0.238370863,3648,3,0,0,3,45105.02
A87.9:03.3101,未特指的病毒性脑膜炎:腰椎穿刺术,0.95,47977.53,33709.38698,-14268.14302,-0.297392196,2916.52354,2,1,0,2,28178.78
K31.8,胃和十二指肠其他特指的疾病,0.476,70482.49,56219.80415,-14262.68585,-0.20235786,4975.513188,10,1,1,6,16679.63
C16.8:44.1401,胃交搭跨越恶性肿瘤的损害:胃镜下活组织检查,1.046,95235.79,80975.48047,-14260.30953,-0.149736874,7256.723476,5,1,0,4,25515.81
I21.0:96.0400,前壁急性透壁性心肌梗死:气管内插管,1.731,710019.11,695769.2837,-14249.82629,-0.020069638,67756.66746,2,1,0,1,294113.43
D12.3:45.4300x009,横结肠良性肿瘤:内镜下结肠黏膜下剥离术(ESD),1.764,75944.64,61714.1607,-14230.4793,-0.18737964,5292,3,0,0,3,40461.33
C53.9:68.6900x001,未特指的宫颈恶性肿瘤:子宫广泛性切除术,2.958,53984.95,39763.50121,-14221.44879,-0.263433583,2958,1,0,0,1,73250.85
C50.9:99.2503,四肢皮肤和皮下组织良性脂肪瘤样肿瘤:静脉注射化疗药物,1.07,51942.11,37768.43668,-14173.67332,-0.272874423,2951.485808,2,1,0,2,39022.96
G45:SS,短暂性大脑缺血性发作和相关的综合征:相关手术,3.135,704791.32,690653.4075,-14137.91251,-0.020059714,67035.79281,55,0,50,50,150123.56
C73.X:06.4x00+40.3x00x005,甲状腺恶性肿瘤:甲状腺全部切除术+功能性颈淋巴结清扫术,2.266,114620.47,100492.1401,-14128.32989,-0.123261839,9064,4,0,0,4,67648.2
K83.0,胆管炎,0.618,102881.04,88756.92499,-14124.11501,-0.137285889,7830.854636,14,0,2,12,18204.94
Z:ZDXCZ,影响健康状态和与保健机构接触的因素:诊断性操作,0.82,90117.92,75994.35302,-14123.56698,-0.15672318,6628.204576,15,1,9,13,16114.73
G45.9:88.4101,未特指的短暂性大脑缺血性发作:脑血管造影,1.308,60647.68,46651.23427,-13996.44573,-0.230782871,3924,3,0,0,3,38776.83
J94.8,其他特指的胸膜情况,0.544,49848.5,35928.16097,-13920.33903,-0.279252917,2369.511215,6,1,3,6,10119.99
C34.9:31.4400x001,未特指的支气管或肺恶性肿瘤:气管镜下气管活检,1.783,139429.29,125524.4716,-13904.81841,-0.099726667,10419.49433,2,1,0,1,143406.88
C67.5:57.4900x001,膀胱颈恶性肿瘤:经尿道膀胱病损电切术,1.701,37417.32,23515.171,-13902.149,-0.371543152,2052.154856,1,1,0,1,50992.48
S82.6:79.3600x009,外踝骨折:踝关节骨折切开复位钢板内固定术,1.692,163459.29,149592.3754,-13866.91459,-0.084834056,13406.20928,5,1,0,4,52986.21
C34.3:40.5914,下叶，支气管或肺的恶性肿瘤:胸腔镜纵隔淋巴结清扫术,4.837,262814.01,248998.775,-13815.23497,-0.052566585,24185,5,0,0,4,95800.89
Z45:SS,植入装置的调整和管理:相关手术,1.702,73307.71,59591.137,-13716.573,-0.187109555,5163.296605,2,1,1,2,18519.4
Z46.6:97.6204,泌尿装置的安装和调整:输尿管镜输尿管支架取出术,0.374,81249.41,67537.58231,-13711.82769,-0.168762182,6006.704666,16,1,0,15,28881.21
I20.0:36.1300,不稳定性心绞痛:三根冠状动脉的(主动脉)冠状动脉旁路移植,11.493,137440.48,123730.8732,-13709.60685,-0.09974941,11493,1,0,0,1,167397.36
C24.0:51.9800x013,肝外胆管恶性肿瘤:经皮肝穿刺肝胆管引流术,2.202,58048.8,44357.86089,-13690.93911,-0.235852233,3620.601287,1,1,0,1,65385.25
C73.X:06.3900x012,甲状腺恶性肿瘤:双侧甲状腺部分切除术,1.546,67755.47,54170.39731,-13585.07269,-0.20050149,4638,3,0,0,3,47553.67
S82.2:79.3600x017,胫骨骨干骨折:腓骨骨折切开复位钢板内固定术,2.938,94585.21,81013.65113,-13571.55887,-0.143485,6360.290763,2,1,0,2,47137.72
K22.8:43.4105,食管其他特指的疾病:内镜下胃息肉切除术,0.706,73808.86,60249.73694,-13559.12306,-0.1837059,5089.298514,6,1,0,5,28786.85
K22.8:42.3305,食管其他特指的疾病:内镜食管黏膜下剥离术,2.327,194795.83,181269.9044,-13525.92562,-0.069436423,16289,7,0,0,6,79646.55
S52.6:79.3200x011,尺骨和桡骨下端均骨折:桡骨骨折切开复位钢板内固定术,1.539,107610.01,94124.98955,-13485.02045,-0.125313811,7695,5,0,0,4,40653.27
D41.4:57.4900x001,膀胱动态未定或动态未知的肿瘤:经尿道膀胱病损电切术,1.781,72284.15,58814.32806,-13469.82194,-0.186345443,5343,3,0,0,3,47462.3
K63.5:43.4105+45.4307,结肠息肉:内镜下胃息肉切除术+内镜下结肠黏膜切除术(EMR),0.987,240866.8,227398.3987,-13468.40126,-0.055916387,21714,22,0,0,15,72050.28
L98:SS,皮肤和皮下组织的其他疾患，不可归类在他处者:相关手术,1.641,64308.05,50856.97475,-13451.07525,-0.209166275,3595.20947,2,1,0,1,30297.32
M96.6:79.3500x016,插入矫形外科的植入物、关节假体或骨板后的骨折:股骨骨折切开复位钢板内固定术,4.064,62290.31,48871.07653,-13419.23347,-0.215430514,4064,1,0,0,1,74090.84
J69.0,食物和呕吐物引起的肺炎,1.022,52859.28,39459.856,-13399.424,-0.253492367,3503.745536,3,1,0,2,18167.7
G93.8,脑其他特指的疾患,0.889,29958.8,16591.70941,-13367.09059,-0.446182444,1214.113329,1,1,0,1,36843.5
I44.2:37.8101,完全性房室传导阻滞:单腔永久起搏器置入术,3.68,69686.28,56338.81683,-13347.46317,-0.191536457,3680,1,0,0,1,76196.39
J15.2,葡萄球菌性肺炎,0.954,57162.67,43893.55218,-13269.11782,-0.232129077,3566.995742,3,1,0,3,22049.24
I42.0,扩张型心肌病,0.697,93521.27,80277.3297,-13243.9403,-0.141614205,7149.257241,10,2,0,5,24935.96
D12.4:45.4201+45.4302,降结肠良性肿瘤:内镜下乙状结肠息肉切除术+内镜下结肠病损切除术,0.864,131042.52,117821.9132,-13220.60676,-0.100887916,10901.90241,12,2,0,6,40191.21
Z51.8:34.9103,其他特指的医疗照顾:超声引导下胸腔穿刺术,1.734,38726.45,25525.32258,-13201.12742,-0.340881424,2150.46751,1,1,0,1,43998.85
N35:SS,尿道狭窄:相关手术,0.998,44510.97,31342.61723,-13168.35277,-0.295845109,2621.321081,2,1,0,2,29259.74
I27.9,未特指的肺源性心脏病,0.376,35181.58,22071.65187,-13109.92813,-0.372636139,1504,4,0,0,4,13268.68
K64.8:43.4105,其他特指的痔疮:内镜下胃息肉切除术,1.037,93932.6,80828.19516,-13104.40484,-0.139508593,7259,7,0,0,5,36255.82
K22.8:43.4107,食管其他特指的疾病:内镜下胃黏膜下剥离术[ESD],2.104,64016.04,50958.20894,-13057.83106,-0.203977489,4208,2,0,0,2,48013.24
D69.3,特发性血小板减少性紫癜,1.05,32774.72,19736.18324,-13038.53676,-0.397822979,1791.676378,1,1,0,1,50205.38
J35.0:28.3x03,慢性扁桃体炎:扁桃体伴腺样体等离子切除术,1.077,186084.62,173048.3869,-13036.23313,-0.070055403,16155,15,0,0,15,69687
S83:SS,膝关节和韧带脱位、扭伤和劳损:相关手术,2.491,209853.46,196830.2853,-13023.17472,-0.062058423,18959.71362,8,1,1,3,60317.61
R:BSZL,症状、体征和临床与实验室异常所见，不可归类在他处者:保守治疗,0.575,46310.61,33301.8844,-13008.7256,-0.280901625,2575.450604,3,1,1,3,28879.08
C50.4:85.4302,乳房上外象限恶性肿瘤:单侧保乳乳腺改良根治术,2.053,125127.56,112123.4595,-13004.10051,-0.103926749,10265,5,0,0,5,67455.28
J85.1:34.0401,肺脓肿伴有肺炎:胸腔闭式引流术,1.99,53298.23,40298.50449,-12999.72551,-0.243905389,3356.094021,1,1,0,1,65333.39
K80.0,胆囊结石伴有急性胆囊炎,0.519,35100.9,22133.93806,-12966.96194,-0.369419643,1780.753538,4,1,1,4,12034.31
T82:ZLXCZ,心脏和血管假体装置、植入物和移植物的并发症:治疗性操作,1.273,43563.95,30616.58811,-12947.36189,-0.29720358,3096.694315,1,1,0,1,54781
K29.7,未特指的胃炎,0.272,40185.77,27243.68679,-12942.08321,-0.32205637,2017.0412,7,1,0,7,8165.46
D12.2:43.4105+45.4307,升结肠良性肿瘤:内镜下胃息肉切除术+内镜下结肠黏膜切除术(EMR),1.008,172335.76,159400.7868,-12934.97315,-0.075056814,15294.60005,14,1,0,6,52751.52
D12.6:45.4201,未特指的结肠良性肿瘤:内镜下乙状结肠息肉切除术,0.671,69465.69,56553.63854,-12912.05146,-0.185876675,4598.099049,6,2,0,6,26951.98
I62.0,硬膜下出血（急性)（非创伤性),0.807,42170.04,29282.46136,-12887.57864,-0.305609827,2421,3,0,0,3,29696.55
C18.4:17.3300,横结肠恶性肿瘤:腹腔镜右半结肠切除术,5.689,81245.62,68364.4748,-12881.1452,-0.158545719,5689,1,0,0,1,93403.81
M23.3:81.4700x005,其他的半月板紊乱:膝关节镜下半月板成形术,1.364,267090.58,254218.796,-12871.78405,-0.04819258,23211.08703,17,1,0,11,83567.4
C34.1:32.2001,上叶，支气管或肺的恶性肿瘤:胸腔镜下肺楔形切除术,3.773,101409.35,88552.74218,-12856.60782,-0.126779314,7546,2,0,0,2,63551.97
K31.7:43.4105+45.4302,胃和十二指肠息肉:内镜下胃息肉切除术+内镜下结肠病损切除术,0.826,154459.5,141615.58,-12843.92003,-0.083153966,13489.69793,16,1,0,8,53618.88
C20.X:54.4x00x050,直肠恶性肿瘤:腹腔镜下直肠全系膜切除术[TME],6.428,90786.48,77957.27612,-12829.20388,-0.141311833,6428,1,0,0,1,104976.37
S:ZDXCZ,损伤、中毒和外因的某些其他后果:诊断性操作,1.048,65027.26,52215.27389,-12811.98611,-0.197024849,4467.744109,3,1,0,3,25736.19
K35.3:47.0100,急性阑尾炎伴局限性腹膜炎:腹腔镜下阑尾切除术,1.1,139903.62,127095.0879,-12808.53209,-0.091552542,12100,11,0,0,9,52739.92
S52.6:79.3200x001+79.3200x011,尺骨和桡骨下端均骨折:尺骨骨折切开复位钢板内固定术+桡骨骨折切开复位钢板内固定术,2.241,67706.02,54930.63436,-12775.38564,-0.188689065,4482,2,0,0,2,41428.28
C16.0:43.4107,贲门恶性肿瘤:内镜下胃黏膜下剥离术[ESD],2.697,46256.82,33481.78382,-12775.03618,-0.276176274,2697,1,0,0,1,58196.78
K52.9:45.2302,未特指的非感染性胃肠炎和结肠炎:电子结肠镜检查,0.466,83754.21,71036.26918,-12717.94082,-0.151848377,6508.294923,12,2,0,9,22782.21
M45.X,强直性脊柱炎,0.793,256682.26,244001.9501,-12680.30991,-0.049400804,21874.2936,32,3,9,19,57892.74
N84.0:68.2913,子宫体息肉:宫腔镜子宫病损电切术,0.865,159329.06,146656.7043,-12672.35574,-0.079535747,13922.94877,16,1,0,10,63337.17
N45.9,睾丸炎、附睾炎和附睾-睾丸炎，不伴有脓肿,0.322,47231.51,34588.59979,-12642.91021,-0.267679568,2413.377483,7,1,1,7,14923.37
N45:SS,睾丸炎和附睾炎:相关手术,0.829,50913.57,38279.71595,-12633.85405,-0.248143158,3113.176971,3,1,0,3,35344.45
S42.2:79.3100x005,肱骨上端骨折:肱骨骨折切开复位钢板内固定术,2.032,233274.44,220650.674,-12623.76601,-0.054115513,20320,10,0,0,6,62475.49
M06,,0,12616.15,0,-12616.15,-1,0,2,0,0,2,5894.56
I10.X:88.5500,特发性(原发性)高血压:单根导管的冠状动脉造影术,0.98,88047.76,75434.95668,-12612.80332,-0.143249565,6543.842756,6,1,0,6,18848.56
K62.1:45.2501+48.3602,直肠息肉:结肠镜下大肠活组织检查+直肠-乙状结肠镜下直肠息肉切除术,0.731,80420.5,67818.60395,-12601.89605,-0.156700046,6020.728352,8,1,0,8,36077.89
S42:SS,肩和上臂骨折:相关手术,2.202,201486.04,188884.4664,-12601.57357,-0.06254316,12945.68941,6,1,2,3,48495.88
C25:SS,胰恶性肿瘤:相关手术,5.322,164495.88,151903.3331,-12592.54691,-0.076552355,11654.12818,3,0,1,3,143941.51
C15:SS,食管恶性肿瘤:相关手术,7.211,355354.36,342766.156,-12588.20404,-0.035424369,32544.90283,7,0,3,3,142083.6
M48.0:03.0915,椎管狭窄:椎间盘镜下椎间孔切开术,2.023,190190.93,177606.4707,-12584.45934,-0.066167505,14158.45281,3,1,0,2,74588.58
J22.X,未特指的急性下呼吸道感染,0.263,36150.86,23588.69159,-12562.16841,-0.347492934,1708.42155,7,0,1,7,10114.66
S72.0:38.7x04+81.5201,股骨颈骨折:下腔静脉滤器置入术+人工股骨头置换术,5.25,120208.95,107662.3407,-12546.60934,-0.104373338,10500,2,0,0,1,99745.87
K40.9:53.0501,单侧或未特指的腹股沟疝，不伴有梗阻或坏疽:单侧腹股沟疝无张力修补术,0.751,68667.37,56122.21424,-12545.15576,-0.182694572,4988.918863,5,1,0,4,44571.19
G44:ZDXCZ,其他头痛综合征:诊断性操作,0.969,127491.93,114979.3833,-12512.54666,-0.098143833,10547.3347,12,1,2,9,28267.96
C83.3:41.3800x001,弥漫性大B细胞淋巴瘤:骨髓穿刺术,2.769,45176.42,32665.3732,-12511.0468,-0.276937544,2769,1,0,0,1,56385.62
C79.5,骨和骨髓继发性恶性肿瘤,0.779,52034.85,39534.60667,-12500.24333,-0.240228296,3410.241099,3,2,0,3,22548.9
D12.8:45.4201,直肠良性肿瘤:内镜下乙状结肠息肉切除术,0.804,136760.26,124290.1341,-12470.1259,-0.091182379,11346.91872,14,1,0,9,45134.37
Z51.8:33.2600x001,其他特指的医疗照顾:肺穿刺活检,1.837,42364.63,29902.05523,-12462.57477,-0.29417405,2412.396183,1,1,0,1,46113.83
C16.3,幽门窦恶性肿瘤,0.814,136125.61,123666.5677,-12459.04226,-0.091526071,10874.25442,7,0,1,4,55735.15
J18.2:57.9400,未特指的坠积性肺炎:留置导尿管的置入术,1.6,30629.59,18171.5403,-12458.0497,-0.4067325,1600,1,0,0,1,37575.99
K83.1:51.9800x015,胆管梗阻:经皮肝穿刺胆总管支架置入术,2.893,54063.11,41610.43959,-12452.67041,-0.230335813,2893,1,0,0,1,59986.68
C18.7:54.5101,乙状结肠恶性肿瘤:腹腔镜下肠粘连松解术,5.621,79520.58,67069.48835,-12451.09165,-0.156576972,5621,1,0,0,1,95494.06
C20:SS,直肠恶性肿瘤:相关手术,5.258,86802.47,74368.67773,-12433.79227,-0.143242379,6972.383268,2,0,1,2,110738.73
K55.0,肠急性血管疾患,1.22,58910.01,46481.06235,-12428.94765,-0.210981931,3964.076804,2,1,0,2,26521.97
C92.1,BCR/ABL阳性慢性髓样白血病（CML),0.849,49924.36,37508.92758,-12415.43242,-0.248684859,3312.220897,3,1,0,3,29146.23
S82.2:79.1600x004,胫骨骨干骨折:胫骨骨折闭合复位髓内针内固定术,2.503,83624.35,71213.53901,-12410.81099,-0.14841145,5006,2,0,0,2,44024.75
K63:ZLXCZ,肠的其他疾病:治疗性操作,1.155,28578.53,16188.94716,-12389.58284,-0.433527646,1155,1,0,0,1,34412.23
I77.6,未特指的动脉炎,0.627,63155.4,50786.92171,-12368.47829,-0.195841975,4490.022129,4,3,0,3,31708.77
I24.9,未特指的急性缺血性心脏病,0.429,36486.21,24136.25044,-12349.95956,-0.338482938,1946.631999,4,1,0,3,12629.17
M13,,0,12337.28,0,-12337.28,-1,0,2,0,0,2,8134.53
K91:ZLXCZ,消化系统的操作后疾患，不可归类在他处者:治疗性操作,1.712,86823.56,74509.40481,-12314.15519,-0.141829651,7151.350851,4,1,1,3,41910.61
G41.9,未特指的癫癎持续状态,0.673,38095.48,25819.84965,-12275.63035,-0.322233251,1624.585696,2,1,0,2,31433.43
Z51.8:50.2404,其他特指的医疗照顾:超声引导下肝病损射频消融术,1.863,60855.46,48599.34407,-12256.11593,-0.201397146,4241.124111,1,1,0,1,90951.74
E11.5:86.0401,2型糖尿病伴有周围循环并发症:创面封闭式负压引流术（VSD),2.191,58777.74,46561.5549,-12216.1851,-0.207836931,3778.946517,1,1,0,1,80019.94
N81.1:70.5001,膀胱膨出:阴道前后壁修补术,0.957,69070.71,56890.68233,-12180.02767,-0.176341429,4745.321549,4,2,0,3,36991.64
I21.4:36.0700,急性心内膜下心肌梗死:药物洗脱冠状动脉支架置入,3.563,128319.56,116159.0887,-12160.47132,-0.09476709,10689,3,0,0,2,56757.87
K56.5:45.2302,肠粘连[带]伴有梗阻:电子结肠镜检查,0.809,98302.42,86148.45255,-12153.96745,-0.123638538,7829.685601,8,1,0,8,22712.53
Z51.5:54.9105,姑息性医疗:腹腔穿刺术,1.263,40118.51,28054.1166,-12064.3934,-0.30071888,2526,2,0,0,2,23662.9
M48.0:80.5110,椎管狭窄:内镜下腰椎间盘切除术,2.435,104690.56,92661.42092,-12029.13908,-0.114901851,7307.216759,3,1,0,2,67591.57
C20.X:45.4307,直肠恶性肿瘤:内镜下结肠黏膜切除术(EMR),1.306,59277.35,47260.23211,-12017.11789,-0.202726976,4324.065586,3,1,0,3,24558.66
I62.0:01.2409,硬膜下出血（急性)（非创伤性):颅骨钻孔引流术,2.119,73251.59,61236.22664,-12015.36336,-0.164028704,5198.828814,2,1,0,2,39049.24
D24.X:85.2100x003,乳房良性肿瘤:乳房病损切除术,0.514,210963.19,198968.927,-11994.263,-0.056854767,19427.23436,37,2,0,18,78341.32
C54.1:40.5911+40.5912,子宫内膜恶性肿瘤:腹腔镜腹腔淋巴结清扫术+腹腔镜盆腔淋巴结清扫术,3.707,58256.82,46335.29086,-11921.52914,-0.204637485,3707,1,0,0,1,80895.36
I50.1:57.9400,左心室衰竭:留置导尿管的置入术,1.31,118743.93,106828.799,-11915.13102,-0.100343075,10403.72766,9,1,2,6,37141.31
K63.8:45.4307,肠其他特指的疾病:内镜下结肠黏膜切除术(EMR),0.892,145350.55,133470.8477,-11879.7023,-0.081731389,12950.8604,14,1,0,10,42633.94
B18.1,慢性乙型病毒性肝炎，不伴有δ因子,0.614,109086.63,97233.28665,-11853.34335,-0.10865991,9070.994408,17,0,3,10,25820.93
K85.8,其他的急性胰腺炎,0.901,68937.31,57089.67868,-11847.63132,-0.171860946,5075.688256,3,2,0,3,28095.87
C22.9:54.9105,未特指的肝恶性肿瘤:腹腔穿刺术,1.572,39243.04,27426.97524,-11816.06476,-0.301099628,2364.284216,1,1,0,1,54609.03
D25.1:68.4901,子宫壁内平滑肌瘤:经腹全子宫切除术,1.407,72010.14,60205.24033,-11804.89967,-0.163933852,4782.646897,3,1,0,3,50401.05
S63:SS,在腕和手水平的关节和韧带脱位、扭伤和劳损:相关手术,0.884,46918.44,35113.78265,-11804.65735,-0.251599528,2676.688279,3,1,0,3,22696.14
M35.1,其他重叠综合征,0.919,53375.46,41589.06698,-11786.39302,-0.220820449,3498.933966,3,2,1,2,36779.99
H49.0,第三[动眼]神经麻痹,0.586,73287.17,61512.77142,-11774.39858,-0.160661117,5526.58582,7,2,0,5,27618.73
